alexa_rank,company_name,company_url,score,serial_number,verb,web_info
6037,中学语文教学资源网,ruiwen.com,得分:4698,1,982,"网站简介：中学语文教学资源网（www.ruiwen.com）为中学语文教师提供课件教案,教学论文,中考试题,高考试题,课堂教学实录视频,课本课文朗读,唐诗宋词诗歌朗诵，百家讲坛，子午书简，电..."
7886,古诗文网,gushiwen.org,得分:4648,2,117,网站简介：古诗文网作为传承经典的网站成立于2011年。古诗文网专注于古诗文服务，致力于让古诗文爱好者更便捷地发表及获取古诗文相关资料。
104,知乎,zhihu.com,得分:4579,3,22125,网站简介：一个真实的网络问答社区，帮助你寻找答案，分享知识。
2878,爱词霸,iciba.com,得分:4537,4,5752,网站简介：爱词霸英语为广大英语学习爱好者提供金山词霸、在线词典、在线翻译、英语学习资料、英语歌曲、英语真题在线测试、汉语查词等服务，爱词霸英语在线查词和在线翻译频道致力于...
9471,无忧无虑中学语文网,5156edu.com,得分:4499,5,2362,网站简介：无忧无虑中学语文网（www.5156edu.com）。
4,百度百科,baike.baidu.com,得分:4458,6,24605,网站简介：百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识、服务所有互联网用户的中文知识性百科全书。 在这里你可以参与词条编辑，分享贡献你的知识。
9471,在线新华字典,xh.5156edu.com,得分:4456,7,1602,网站简介：大全的在线汉语字典
4,百度文库,wenku.baidu.com,得分:4454,8,8205,网站简介：在线互动式文档分享平台，在这里，您可以和千万网友分享自己手中的文档，全文阅读其他用户的文档，同时，也可以利用分享文档获取的积分下载文档。
4,百度知道,zhidao.baidu.com,得分:4448,9,9876,网站简介：百度知道是由全球最大的中文搜索引擎百度自主研发、基于搜索的互动式知识问答分享平台。用户可以根据自身的需求，有针对性地提出问题；同时，这些答案又将作为搜索结果，满...
4,百度经验,jingyan.baidu.com,得分:4445,10,2167,网站简介：互联网上的实用生活指南。在这里，您可以找到许多经过实践检验的办法来解决现实中遇到的问题，也可以将自己的经验贡献出来让更多人因之受益
4266,作业帮,www.zybang.com,得分:4429,11,1,网站简介：作业帮致力于为全国中小学生提供全学段的学习辅导服务，截至目前，作业帮用户量突破3亿，是中小学在线教育领军品牌。
4,百度翻译,fanyi.baidu.com,得分:4384,12,1522,网站简介：百度翻译是一项免费的在线翻译服务，支持中文和英文、中文和日文之间的文本、网页翻译功能，只需输入您想要翻译的文本或者网页地址，即可轻松获得翻译结果。
3390,海词词典,dict.cn,得分:4368,13,44551,网站简介：海词为英语学习者提供在线英语词典、英语在线翻译、权威学习资料，是新时代的学习型在线词典，有1000万海量词汇，5000万忠实用户，专业教师在线翻译辅导。
819,中国知网,cnki.net,得分:4295,14,8270,网站简介：中国知网知识发现网络平台—面向海内外读者提供中国学术文献、外文文献、学位论文、报纸、会议、年鉴、工具书等各类资源统一检索、统一导航、在线阅读和下载服务。涵盖基础...
6537,扎客,myzaker.com,得分:4293,15,132,网站简介：AKER，中文名扎客，是iPhone上的免费互动分享社区软件。将微博、博客、报纸杂志、网络新闻、图片、RSS、google reader等众多内容，按照用户个人的意愿聚合到一款软件上。用...
10179,学习啦,xuexila.com,得分:4276,16,1167,网站简介：学习啦（www.xuexila.com）在线学习网是一个学习、互助的平台，在这里你可以免费学习各种知识，包括：学习方法、记忆力/脑力提升、时间管理、英语学习、考试辅导、各种生活...
1314,豆丁文库,docin.com,得分:4252,17,4800,"网站简介：豆丁网是全球最大的中文社会化阅读分享平台，拥有商业,教育,研究报告,行业资料,学术论文,认证考试,星座,心理学等数亿实用文档和书刊杂志。"
8565,中公教育网,offcn.com,得分:4248,18,22978,网站简介：【中公教育-专业公务员培训机构】提供国考、省考、事业编、教师、银行、考研、会计等公告、时间、职位表、报名入口、成绩查询、真题、网校、笔试面试辅导及it培训。
