alexa_rank,company_name,company_url,score,serial_number,verb,web_info
20,新浪军事,mil.news.sina.com.cn,得分:3729,121,4923,网站简介：新浪军事频道是一个专业的军事知识站点，主要有以下栏目：国内军事焦点、国际军事焦点、军备动态、台海形势、我军新闻、外军新闻、军帖精选、新闻评述、军事视频、军事图片...
95,天涯问答,wenda.tianya.cn,得分:3729,122,466,网站简介：天涯社区问答频道
2143,ETS Home,ets.org,得分:3728,123,267,网站简介：美国教育考试服务中心（Educational Testing Service，简称ETS）成立于1947年，是目前非盈利教育考试评估机构，也是教育研究领域的领导者。该组织致力于为近200个国家的个人...
48499,成语大全,chengyu.t086.com,得分:3728,124,243,网站简介：成语大全，网上的成语词典●包含3万多条成语记录…成语查询服务提供模糊查找，指定位置查找…一些特殊成语，三个字、五个字、六个字、七个字、aabc的成语…智能成语接龙
3109,中国科学技术大学,ustc.edu.cn,得分:3727,125,1201,网站简介：中国科学技术大学官方网站，中国科学技术大学是全国首批7所“211工程”和首批9所“985工程”建设的高校之一，是中科院知识创新工程重点建设院校，是我国唯一拥有两个国家实...
21240,大家网,topsage.com,得分:3726,126,274,网站简介：大家网（www.topsage.com）是致力于提供在线学习交流、相关资讯和服务的网络媒体平台，拥有强大的外语、财会、计算机、公务员、各类资格考试，及软件，电子书，教程下载 等...
1594,沪江日语,jp.hjenglish.com,得分:3725,127,1076,网站简介：沪江日语是沪江旗下日语学习资讯网站，提供丰富的日语资料、日语互动社区、日语等级考试报名和日语培训等内容，让你足不出户就能提高和培养日语学习和应用能力。
14600,高顿网校,gaodun.com,得分:3724,128,511,"网站简介：高顿网校(www.gaodun.com)是高顿教育旗下财经网络教育品牌,提供ACCA、CPA、CMA、AICPA、CFA、会计职称、会计从业资格、证券从业资格、期货从业资格、银行从业资格等考试报名..."
27881,21世纪教育网,21cnjy.com,得分:3718,129,699,网站简介：国内排名前列的中小学教育资源站，提供全国中小学各版本教材的课件，教案，学案，备课素材、测试练习等资源下载。资源多、时效强、质量高，是中小学老师学生们的佳选择
57572,中国评书网,zgpingshu.com,得分:3711,130,96,网站简介：中国评书网(zgpingshu.com)汇集各类长篇评书、相声小品等有声小说。提供单田芳，袁阔成，刘兰芳，田连元，连丽如等众多评书表演艺术家的经典MP3评书以及言情武侠、恐怖悬疑...
7879,法语在线辞典,frdic.com,得分:3709,131,149,"网站简介：法语在线词典,提供法汉、汉法在线翻译,法语动词变位查询,支持真人发音,由权威的法语学习工具《法语助手》免费提供,Dictionnaire Fran鏰is Chinois en ligne."
45834,爱思网,24en.com,得分:3708,132,967,网站简介：爱思英语（原中国英语学习网）是国内大的英语资讯、英语学习资源中心。免费提供英语学习工具，交流英语学习方法，共享英语学习教材，为英语爱好者提供新全的英语资讯与学习...
1638,上海交通大学,www.sjtu.edu.cn,得分:3704,133,780,网站简介：上海交通大学官方网站，上海交通大学是教育部直属、教育部与上海市共建的全国重点大学，是国家 “七五”、“八五”重点建设、全国首批7所“211工程”和首批9所“985工程”建...
45885,奥鹏教育,open.com.cn,得分:3699,134,480,网站简介：奥鹏教育天天向上
